code,code_level,food_category,food_group,major_food_code,minor_food_code,units
cat520,1,Milk and milk products excluding cheese,,,,ml
4006,2,,"Liquid wholemilk, including school and welfare",,,ml
4,3,,,"Liquid wholemilk, full price",,ml
402,4,,,,UHT milk,ml
403,4,,,,Sterilised,ml
404,4,,,,Pasteurised/ homogenised,ml
501,3,,,School milk  [note 6],,ml
601,3,,,Welfare milk [note 11],,ml
9017,2,,Other milk and cream,,,ml
15,3,,,Skimmed milks,,ml
1502,4,,,,Fully skimmed milk,ml
1503,4,,,,Semi-skimmed milk,ml
901,3,,,Condensed or evaporated milk,,eq ml
11,3,,,Infant milks,,eq ml
1102,4,,,,Infant or baby milks - ready to drink,eq ml
1103,4,,,,Infant or baby milks - dried,eq ml
1201,3,,,Instant dried milk,,eq ml
13,3,,,Yoghurt and fromage frais,,ml
1301,4,,,,Yoghurt,ml
1302,4,,,,Fromage frais,ml
16,3,,,Other milks and dairy desserts,,ml
1603,4,,,,Dairy desserts - not frozen,ml
1605,4,,,,Dried milk products,ml
1607,4,,,,Milk drinks and other milks [note 7],ml
1608,4,,,,Non-dairy milk substitutes [note 7],ml
17,3,,,Cream,,ml
22023,2,,Cheese,,,g
22,3,,,Natural cheese,,g
2201,4,,,,Hard cheese - cheddar type,g
2202,4,,,,Hard cheese - other uk or foreign equivalent,g
2203,4,,,,Hard cheese - edam or other foreign,g
2205,4,,,,Cottage cheese,g
2206,4,,,,Soft natural cheese,g
2301,3,,,Processed cheese,,g
31041,2,,Carcase meat,,,g
31,3,,,Beef and veal,,g
3102,4,,,,Beef joints - on the bone,g
3103,4,,,,Beef joints - boned,g
3104,4,,,,Beef steak - less expensive,g
3105,4,,,,Beef steak - more expensive,g
3106,4,,,,Minced beef,g
3107,4,,,,All other beef and veal,g
36,3,,,Mutton and lamb,,g
3601,4,,,,Mutton,g
3602,4,,,,Lamb joints,g
3603,4,,,,Lamb chops,g
3604,4,,,,All other lamb,g
41,3,,,Pork,,g
4101,4,,,,Pork joints,g
4102,4,,,,Pork chops,g
4103,4,,,,Pork fillets and steaks,g
4104,4,,,,All other pork,g
46095,2,,Non-carcase meat and meat products,,,g
46,3,,,Liver,,g
4603,4,,,,Ox liver,g
4604,4,,,,Lambs liver,g
4605,4,,,,Pigs liver,g
4607,4,,,,All other liver,g
51,3,,,All offal other than liver,,g
55,3,,,"Bacon and ham, uncooked",,g
5502,4,,,,"Bacon and ham joints, uncooked",g
5505,4,,,,"Bacon and ham rashers, uncooked",g
58,3,,,"Bacon and ham, cooked",,g
59,3,,,Cooked poultry not purchased in cans,,g
5903,4,,,,"Chicken and turkey, cooked",g
5904,4,,,,Takeaway chicken,g
62,3,,,"Corned beef, canned or sliced",,g
66,3,,,Other cooked meat,,g
71,3,,,Other canned meat and canned meat products,,g
74,3,,,"Chicken, uncooked - whole chicken or chicken pieces",,g
77,3,,,"Other poultry, uncooked (including frozen)",,g
7703,4,,,,"Turkey, uncooked - whole turkey or turkey pieces",g
7704,4,,,,"Poultry other than chicken or turkey, uncooked",g
78,3,,,"Other fresh, chilled and frozen meat",,g
79,3,,,"Sausages, uncooked - pork",,g
80,3,,,"Sausages, uncooked - beef and other sausages",,g
83,3,,,"Meat pies and sausage rolls, ready to eat",,g
8302,4,,,,"Meat pies, ready to eat",g
8303,4,,,,"Sausage rolls, ready to eat",g
84,3,,,"Meat pies, pasties and puddings, frozen or not frozen",,g
85,3,,,"Burgers, frozen or not frozen",,g
89,3,,,Ready meals and convenience meat products,,g
8901,4,,,,"Complete meat-based ready meals, frozen or not frozen",g
8902,4,,,,"Other convenience meat products, frozen or not frozen",g
93,3,,,Pate and delicatessen type sausage,,g
9301,4,,,,Pate,g
9302,4,,,,Delicatessen type sausages,g
94,3,,,Meat pastes and spreads,,g
95,3,,,Takeaway meats,,g
9501,4,,,,Takeaway meat pies and pasties,g
9502,4,,,,Takeaway burger and bun,g
9503,4,,,,Takeaway kebabs,g
9504,4,,,,Takeaway sausages and saveloys,g
9505,4,,,,Takeaway meat based meals,g
9506,4,,,,Takeaway miscellaneous meats,g
100123,2,,Fish,,,g
102,3,,,"White fish, fresh, chilled or frozen",,g
10201,4,,,,"White fish, fresh or chilled",g
10202,4,,,,"White fish, frozen",g
106,3,,,"Herrings and other blue fish, fresh, chilled or frozen",,g
