code,code_level,food_category,food_group,major_food_code,minor_food_code,units,rse_indicator,percent_change_2021_22,percent_change_2019_20,significance,trend_2019_20,reliability_3yr_se,year,expenditure
t1,1,Food and drink all purchases food and drink,,,,p,Medium,5.397858409,-9.749271249,yes,DOWN,1.102241106,1974,
t2,1,Food and non-alcoholic drinks all purchases food and drink,,,,p,Medium,6.758147972,-7.866399184,yes,DOWN,1.036082721,1974,
t3,1,Alcoholic drinks all purchases food and drink,,,,p,High,-2.430910411,-20.0395865,yes,DOWN,2.73073798,1974,
eo90001,1,Food and drink purchases for consumption outside the home,,,,p,Low,12.62199893,-34.07033606,yes,DOWN,2.410188191,1974,
eo90002,1,Food and non-alcoholic drinks for consumption outside the home,,,,p,Low,13.69691615,-34.2688452,yes,DOWN,2.368843859,1974,
eo90003,1,Alcoholic drinks for consumption outside the home,,,,p,Medium,9.208654948,-33.40545405,yes,DOWN,3.905979817,1974,
cat108,1,Food and drink purchases for household supplies,,,,p,Very Low,3.391572911,1.587419203,,,0.832005468,1974,
cat105,1,Food and non-alcoholic drinks purchases for household supplies,,,,p,Very Low,5.087790093,2.89837697,,,0.792768402,1974,
380389,1,Alcoholic drinks purchases for household supplies,,,,p,Low,-8.743871403,-8.062774127,,DOWN,2.313068495,1974,
cat106,1,"Food and drink, excluding soft drinks, alcoholic drinks and confectionery purchases for household supplies",,,,p,Very Low,5.277491718,2.489988578,,,0.805094437,1974,331.4370043
cat520,1,Milk and milk products excluding cheese,,,,p,Very Low,10.85102118,9.67506324,yes,UP,1.19463468,1974,29.22870778
4006,2,,"Liquid wholemilk, including school and welfare",,,p,Medium,43.64427283,28.93354011,yes,UP,3.29731571,1974,23.73698613
4,3,,,"Liquid wholemilk, full price",,p,Medium,43.64427283,28.93354011,yes,UP,3.29731571,1974,23.72114903
402,4,,,,UHT milk,p,Very High,210.8016035,156.5732848,,,22.37229403,1974,0.23721149
403,4,,,,Sterilised,p,,,,,,,1974,1.186057451
404,4,,,,Pasteurised/ homogenised,p,Medium,41.67560865,27.33921225,yes,UP,3.308819082,1974,22.29788009
501,3,,,School milk [note 6],,p,,,,,,,1974,0.003438914
601,3,,,Welfare milk [note 11],,p,,,,,,,1974,0.01239819
9017,2,,Other milk and cream,,,p,Low,7.768273464,7.660124713,yes,,1.299762559,1974,5.491721644
15,3,,,Skimmed milks,,p,Low,13.48125505,3.642441465,,,1.613646178,1974,0.167098982
1502,4,,,,Fully skimmed milk,p,Medium,8.690551491,-1.87927497,,,4.59860425,1974,0.066839593
1503,4,,,,Semi-skimmed milk,p,Low,14.29696696,4.59550303,,,1.742507437,1974,0.100259389
901,3,,,Condensed or evaporated milk,,p,Very High,59.84701433,62.16986394,,,11.37573479,1974,1.436561233
11,3,,,Infant milks,,p,Very High,31.30706755,-41.40015582,,DOWN,12.44884429,1974,0.445312346
1102,4,,,,Infant or baby milks - ready to drink,p,Very High,-8.06775824,9.494090475,,,23.44304098,1974,0.044531235
1103,4,,,,Infant or baby milks - dried,p,Very High,42.93009418,-46.15230316,yes,DOWN,13.69137901,1974,0.400781112
1201,3,,,Instant dried milk,,p,Very High,92.41037066,75.86682239,,,35.61132416,1974,0.450933763
