code,code_level,food_category,food_group,major_food_code,minor_food_code,units,rse_indicator_,percentage_change_since_2021_22,percentage_change_since_2019_20,significance,trend_since_2019_20_,reliability_of_3_year_percent_relative_se,year,quantity
cat520,1,Milk and milk products excluding cheese,,,,ml,Very Low,-6.228009964,-12.16152778,yes,DOWN,1.160534784,1974,2977.996604
4006,2,,"Liquid wholemilk, including school and welfare",,,ml,Medium,16.17784054,-2.291519879,,,3.447841135,1974,2686.666715
4,3,,,"Liquid wholemilk, full price",,ml,Medium,16.17784054,-2.291519879,,,3.447841135,1974,2654.808074
402,4,,,,UHT milk,ml,Very High,162.1508856,60.8876154,,,21.60750191,1974,26.54808074
403,4,,,,Sterilised,ml,,,,,,,1974,132.7404037
404,4,,,,Pasteurised/ homogenised,ml,Medium,15.020987,-2.936824972,,,3.469356076,1974,2495.519589
501,3,,,School milk  [note 6],,ml,,,,,,,1974,16.94499179
601,3,,,Welfare milk [note 11],,ml,,,,,,,1974,14.91364983
9017,2,,Other milk and cream,,,ml,Low,-10.35051625,-14.22742675,yes,DOWN,1.340801395,1974,291.3298882
15,3,,,Skimmed milks,,ml,Low,-11.433989,-19.72221926,yes,DOWN,1.508270529,1974,5.285816378
1502,4,,,,Fully skimmed milk,ml,Medium,-12.39207856,-22.44029809,yes,DOWN,4.508393139,1974,2.114326551
1503,4,,,,Semi-skimmed milk,ml,Low,-11.28151781,-19.27765903,yes,DOWN,1.622485259,1974,3.171489827
901,3,,,Condensed or evaporated milk,,eq ml,Very High,64.6797474,44.84030648,,,11.57777926,1974,146.9489047
11,3,,,Infant milks,,eq ml,Very High,11.5521107,-53.20537292,yes,DOWN,12.71053783,1974,36.55191135
1102,4,,,,Infant or baby milks - ready to drink,eq ml,Very High,-36.24121156,-36.79997557,,,24.23271295,1974,3.655191135
1103,4,,,,Infant or baby milks - dried,eq ml,Very High,17.34054917,-53.99132377,yes,DOWN,13.55667267,1974,32.89672022
1201,3,,,Instant dried milk,,eq ml,Very High,-76.65962899,47.64580438,,,49.64967882,1974,52.8202421
13,3,,,Yoghurt and fromage frais,,ml,Low,-10.99785999,-12.76283849,yes,DOWN,1.731951197,1974,33.10069315
1301,4,,,,Yoghurt,ml,Low,-11.6174533,-12.50241043,yes,DOWN,1.776910971,1974,33.10069315
1302,4,,,,Fromage frais,ml,High,3.268188699,-17.59605897,,,6.465391525,1974,
16,3,,,Other milks and dairy desserts,,ml,Medium,-0.719685355,28.42186154,yes,,3.962553224,1974,1.321454095
1603,4,,,,Dairy desserts - not frozen,ml,Medium,6.833344462,-6.247523513,,,3.652272509,1974,0.991090571
1605,4,,,,Dried milk products,ml,Very High,-81.45242013,-93.55972103,,,60.48509365,1974,
1607,4,,,,Milk drinks and other milks [note 7],ml,Medium,-10.53080782,1.671070708,,,5.27687065,1974,0.330363524
1608,4,,,,Non-dairy milk substitutes [note 7],ml,High,0.554311591,60.20532712,yes,UP,6.077231901,1974,
17,3,,,Cream,,ml,Medium,-11.53553463,6.320675123,,,2.862114526,1974,15.30086637
22023,2,,Cheese,,,g,Low,-5.478671056,-1.50112128,,,1.389298395,1974,104.8889313
22,3,,,Natural cheese,,g,Low,-6.557987916,-3.046263245,,,1.433792444,1974,97.01025173
2201,4,,,,Hard cheese - cheddar type,g,Low,-2.581912598,1.394545409,,,1.710825319,1974,67.10483052
2202,4,,,,Hard cheese - other uk or foreign equivalent,g,Medium,-25.10541383,-19.0791482,,,4.316442662,1974,20.4857423
2203,4,,,,Hard cheese - edam or other foreign,g,Medium,-16.23335916,-18.64178098,,DOWN,3.740617699,1974,5.418606885
2205,4,,,,Cottage cheese,g,High,-26.98165436,-33.20447434,,DOWN,9.001615495,1974,1.760471692
2206,4,,,,Soft natural cheese,g,Low,-4.120556051,1.675746272,,,2.625812783,1974,2.240600335
2301,3,,,Processed cheese,,g,Medium,6.26053498,16.21294639,,,3.691143546,1974,7.878679591
31041,2,,Carcase meat,,,g,Medium,-0.773010666,-14.75230465,yes,DOWN,2.43464277,1974,393.4466477
31,3,,,Beef and veal,,g,Medium,-0.633263651,-11.45020574,,DOWN,2.711156546,1974,189.2494089
3102,4,,,,Beef joints - on the bone,g,Very High,-34.72836341,-24.99123061,,,40.78592833,1974,10.44035571
